id,totalWinners,totalAmount,winners,startedAt,settledAt,status,gameType,currency,wager,payout,dealerName,dealerUid,numOfParticipants,topSlot_WheelSector,topSlot_Multi,resultType,resultSector,bonusType,bonusMultiplier,cashMinMulti,coinColor,flapperGreen,flapperBlue,flapperYellow,maxMulti,isTopSlotMatched
65de282ed3572a704f8e2c34,6737,16512,"[921.07, 622.61, 343.01, 300.35, 266.01]",2024-02-27T18:20:53.836Z,2024-02-27T18:21:33.469Z,Resolved,crazytime,EUR,12.86,0.0,Alise,tts131885_______,1,CrazyBonus,3,WinningNumber,2,,,,,,,,2,False
65de2801d3572a704f8e2c30,6710,48450,"[2100.51, 1950.71, 1048.09, 760.97, 725.45]",2024-02-27T18:20:12.411Z,2024-02-27T18:20:47.930Z,Resolved,crazytime,EUR,12.86,0.0,Alise,tts131885_______,1,2,25,WinningNumber,10,,,,,,,,10,False
65de27d7d3572a704f8e2c2c,6144,15400,"[921.07, 487.68, 415.07, 303.09, 255.95]",2024-02-27T18:19:21.390Z,2024-02-27T18:20:06.487Z,Resolved,crazytime,EUR,0.0,0.0,Alise,tts131885_______,1,1,2,WinningNumber,2,,,,,,,,2,False
65de27a4d3572a704f8e2c2a,6214,16208,"[921.07, 441.07, 415.07, 255.95, 252.04]",2024-02-27T18:18:30.354Z,2024-02-27T18:19:15.581Z,Resolved,crazytime,EUR,0.0,0.0,Alise,tts131885_______,1,1,7,WinningNumber,2,,,,,,,,2,False
65de2771d3572a704f8e2c27,9234,64310,"[3041.32, 2625.64, 1649.06, 1439.85, 1013.77]",2024-02-27T18:16:59.902Z,2024-02-27T18:18:24.633Z,Resolved,crazytime,EUR,10.52,12.86,Alise,tts131885_______,1,2,2,BonusRound,Pachinko,Pachinko,10,,,,,,10,False
65de2717d3572a704f8e2c22,6441,56788,"[6502.35, 5068.87, 2100.51, 1811.01, 1439.85]",2024-02-27T18:16:13.001Z,2024-02-27T18:16:53.956Z,Resolved,crazytime,EUR,0.0,0.0,Alise,tts131885_______,1,CashHunt,2,WinningNumber,10,,,,,,,,10,False
65de26e8d3572a704f8e2c1e,4877,11611,"[2364.49, 276.72, 273.02, 226.49, 224.87]",2024-02-27T18:15:27.046Z,2024-02-27T18:16:07.190Z,Resolved,crazytime,EUR,0.0,0.0,Alise,tts131885_______,1,2,2,WinningNumber,1,,,,,,,,1,False
65de26bad3572a704f8e2c1a,7635,99670,"[5806.16, 4010.07, 3528.13, 2831.09, 2805.0]",2024-02-27T18:13:45.490Z,2024-02-27T18:15:21.348Z,Resolved,crazytime,EUR,0.0,0.0,Alise,tts131885_______,1,CrazyBonus,3,BonusRound,CashHunt,CashHunt,"[[20, 10, 10, 10, 5, 100, 20, 15, 7], [20, 50, 15, 25, 5, 15, 5, 20, 25], [20, 20, 20, 10, 20, 20, 10, 50, 7], [5, 7, 5, 15, 15, 20, 20, 7, 7], [20, 25, 5, 20, 20, 15, 75, 7, 50], [20, 15, 50, 20, 20, 10, 7, 10, 15], [75, 10, 5, 20, 25, 20, 25, 10, 5], [10, 10, 7, 10, 15, 15, 75, 10, 25], [20, 10, 5, 25, 15, 7, 10, 10, 50], [7, 20, 50, 20, 20, 5, 5, 10, 10], [20, 10, 7, 75, 50, 5, 75, 7, 5], [5, 5, 15, 20, 10, 15, 15, 7, 15]]",5.0,,,,,100,False
65de2654d3572a704f8e2c14,7446,114312,"[9812.05, 7188.58, 2078.55, 1825.71, 1791.08]",2024-02-27T18:12:07.873Z,2024-02-27T18:13:39.669Z,Resolved,crazytime,EUR,2.92,6.43,Alise,tts131885_______,1,10,4,BonusRound,CashHunt,CashHunt,"[[25, 25, 25, 25, 25, 10, 25, 25, 10], [25, 10, 25, 10, 25, 10, 10, 10, 10], [10, 10, 25, 25, 25, 25, 10, 25, 10], [10, 10, 10, 5, 10, 5, 25, 10, 25], [5, 25, 25, 25, 50, 25, 10, 5, 25], [50, 10, 10, 10, 10, 100, 10, 10, 10], [10, 25, 10, 10, 10, 25, 10, 5, 25], [10, 10, 25, 25, 50, 25, 10, 10, 25], [25, 10, 25, 25, 10, 25, 25, 10, 10], [10, 10, 10, 25, 10, 50, 10, 50, 50], [10, 25, 10, 10, 25, 10, 25, 25, 25], [10, 25, 10, 10, 25, 10, 25, 10, 25]]",5.0,,,,,100,False
65de25f2d3572a704f8e2c0d,4595,11395,"[1798.97, 552.97, 303.09, 255.95, 207.54]",2024-02-27T18:11:19.075Z,2024-02-27T18:12:01.792Z,Resolved,crazytime,EUR,9.35,0.0,Sofija,tts134207_______,1,10,2,WinningNumber,2,,,,,,,,2,False
65de25c2d3572a704f8e2c09,4599,21620,"[2486.31, 1773.37, 987.83, 606.17, 552.97]",2024-02-27T18:10:34.255Z,2024-02-27T18:11:13.160Z,Resolved,crazytime,EUR,0.12,0.0,Sofija,tts134207_______,1,CrazyBonus,3,WinningNumber,5,,,,,,,,5,False
65de2595d3572a704f8e2c04,4551,9527,"[552.97, 336.05, 300.0, 294.05, 292.25]",2024-02-27T18:09:48.847Z,2024-02-27T18:10:28.330Z,Resolved,crazytime,EUR,0.0,0.0,Sofija,tts134207_______,1,2,1,WinningNumber,1,,,,,,,,1,False
65de2567d3572a704f8e2bff,5077,19041,"[2486.31, 552.97, 350.7, 310.36, 300.0]",2024-02-27T18:09:03.558Z,2024-02-27T18:09:42.885Z,Resolved,crazytime,EUR,44.42,0.0,Sofija,tts134207_______,1,2,3,WinningNumber,5,,,,,,,,5,False
65de253bd3572a704f8e2bfd,4801,7861,"[578.44, 336.05, 138.36, 133.49, 111.24]",2024-02-27T18:08:13.545Z,2024-02-27T18:08:57.561Z,Resolved,crazytime,EUR,7.01,0.0,Sofija,tts134207_______,1,CrazyBonus,3,WinningNumber,1,,,,,,,,1,False
